"Input.attribute1","Answer.category"
"@matthiasrascher u are a funny man. u don´t like alkohol, coffee, cream cheese-but you fave tiramisú. now, that is what i call inconsistent.","negative"
"i just put cream cheese on a muffin. i really need more sleep","neutral"
"i just put cream cheese on a muffin. i really need more sleep","negative"
"i just put cream cheese on a muffin. i really need more sleep","neutral"
"*should not be allowed to bake for parties* i already made cream cheese cherry pie, brownies and spicy molasses cookies...","negative"
"*should not be allowed to bake for parties* i already made cream cheese cherry pie, brownies and spicy molasses cookies...","neutral"
"*should not be allowed to bake for parties* i already made cream cheese cherry pie, brownies and spicy molasses cookies...","positive"
"new update: cream cheese won tons http://healthy-recipe-ideas.diet-recipe-club.info/appetizers/cream-cheese-won-tons/","positive"
"new update: cream cheese won tons http://healthy-recipe-ideas.diet-recipe-club.info/appetizers/cream-cheese-won-tons/","positive"
"new update: cream cheese won tons http://healthy-recipe-ideas.diet-recipe-club.info/appetizers/cream-cheese-won-tons/","neutral"
"@snuffdigital how weird i'm making a bagel too. but idk what should i put on it, i don't like cream cheese. hmm maybe pb!","positive"
"@snuffdigital how weird i'm making a bagel too. but idk what should i put on it, i don't like cream cheese. hmm maybe pb!","neutral"
"@snuffdigital how weird i'm making a bagel too. but idk what should i put on it, i don't like cream cheese. hmm maybe pb!","neutral"
"the bagel's primary appeal is as a cream cheese delivery platform. you know it's true. /via @miketrap","neutral"
"the bagel's primary appeal is as a cream cheese delivery platform. you know it's true. /via @miketrap","neutral"
"the bagel's primary appeal is as a cream cheese delivery platform. you know it's true. /via @miketrap","positive"
"goodmorning!... so tell me why i had a dream about talking begals bathing in cream cheese?! lol","neutral"
"goodmorning!... so tell me why i had a dream about talking begals bathing in cream cheese?! lol","positive"
"goodmorning!... so tell me why i had a dream about talking begals bathing in cream cheese?! lol","positive"
"i want a bagel with bacon &) cream cheese.","neutral"
"i want a bagel with bacon &) cream cheese.","positive"
"i want a bagel with bacon &) cream cheese.","neutral"
